Gene stable ID	Gene stable ID version	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
ENSG00000206880	ENSG00000206880.1	168263375	168263481	1	RNU6-1310P
ENSG00000252191	ENSG00000252191.1	53749851	53749951	19	RNU6-751P
ENSG00000276568	ENSG00000276568.1	6928345	6928629	19	Metazoa_SRP
ENSG00000242065	ENSG00000242065.3	44772773	44773061	X	RN7SL291P
ENSG00000199480	ENSG00000199480.1	106636672	106636786	14	RNA5SP389
ENSG00000199426	ENSG00000199426.1	58666537	58666697	17	RNU1-108P
ENSG00000274396	ENSG00000274396.1	27099856	27099957	7	AC004079.1
ENSG00000200174	ENSG00000200174.1	62211557	62211666	1	Y_RNA
ENSG00000200291	ENSG00000200291.1	117914244	117914345	X	Y_RNA
ENSG00000199575	ENSG00000199575.1	100949833	100949904	14	SNORD114-1
ENSG00000253081	ENSG00000253081.1	8364529	8364648	3	RNU4ATAC17P
ENSG00000251764	ENSG00000251764.1	66895491	66895572	17	RNA5SP446
ENSG00000223188	ENSG00000223188.1	130120806	130120912	9	Y_RNA
ENSG00000202434	ENSG00000202434.1	197404718	197404854	2	AC010746.1
ENSG00000274350	ENSG00000274350.1	72664577	72664799	15	RN7SL853P
ENSG00000276746	ENSG00000276746.1	33562880	33563130	6	Metazoa_SRP
ENSG00000200305	ENSG00000200305.1	39922782	39922886	15	Y_RNA
ENSG00000206799	ENSG00000206799.1	93730979	93731099	11	SNORA32
ENSG00000212368	ENSG00000212368.1	76356610	76356715	4	RNU6-1000P
ENSG00000201987	ENSG00000201987.1	164854231	164854332	1	Y_RNA
ENSG00000252424	ENSG00000252424.1	49552633	49552748	14	RNA5SP384
ENSG00000200792	ENSG00000200792.1	32377187	32377322	21	SNORA80A
ENSG00000276193	ENSG00000276193.1	133668420	133668701	8	Metazoa_SRP
ENSG00000276100	ENSG00000276100.1	116956431	116956723	7	AC106873.6
ENSG00000201666	ENSG00000201666.1	28924069	28924138	X	AC121343.1
ENSG00000222112	ENSG00000222112.1	33336566	33336864	1	RN7SKP16
ENSG00000240927	ENSG00000240927.3	101773238	101773513	15	RN7SL209P
ENSG00000212302	ENSG00000212302.1	22756761	22756829	14	AL135998.1
ENSG00000241392	ENSG00000241392.3	131720260	131720543	4	RN7SL205P
ENSG00000206620	ENSG00000206620.1	75787072	75787150	1	SNORD45C
ENSG00000252317	ENSG00000252317.1	240341385	240341477	1	Y_RNA
ENSG00000275231	ENSG00000275231.1	97493897	97494003	12	AC007351.4
ENSG00000199797	ENSG00000199797.1	28303754	28303850	22	Y_RNA
ENSG00000274978	ENSG00000274978.1	28648600	28648733	1	RNU11
ENSG00000252135	ENSG00000252135.1	148385829	148385963	1	RNVU1-2
ENSG00000252902	ENSG00000252902.1	71845196	71845245	11	RNA5SP342
ENSG00000243870	ENSG00000243870.3	78370852	78371135	17	RN7SL236P
ENSG00000251990	ENSG00000251990.1	17156971	17157071	5	RNA5SP180
ENSG00000238723	ENSG00000238723.1	46215070	46215171	17	Y_RNA
ENSG00000222924	ENSG00000222924.1	138069355	138069458	5	RNU6-1148P
ENSG00000201330	ENSG00000201330.1	29582249	29582332	6	SNORD32B
ENSG00000252833	ENSG00000252833.1	76091708	76091801	5	RNA5SP186
ENSG00000200150	ENSG00000200150.1	100956240	100956312	14	AL132709.1
ENSG00000202239	ENSG00000202239.1	46525618	46525722	21	RNU6-396P
ENSG00000277467	ENSG00000277467.1	30612724	30612960	15	RN7SL628P
ENSG00000252292	ENSG00000252292.1	85650012	85650260	10	RN7SKP238
ENSG00000199836	ENSG00000199836.1	99945315	99945477	14	RNU1-47P
ENSG00000222561	ENSG00000222561.1	948421	948524	11	RNU6-1025P
ENSG00000201384	ENSG00000201384.1	77201026	77201140	14	AC007375.1
ENSG00000275930	ENSG00000275930.1	75381638	75381739	7	Y_RNA
ENSG00000238529	ENSG00000238529.1	42863200	42863306	9	RNU6-599P
ENSG00000222532	ENSG00000222532.1	63786002	63786087	X	MIR1468
ENSG00000278233	ENSG00000278233.1	8212572	8212724	21	RNA5-8SN2
ENSG00000200761	ENSG00000200761.1	4920770	4921064	4	RN7SKP113
ENSG00000253013	ENSG00000253013.1	186130021	186130155	4	AC104070.1
ENSG00000207004	ENSG00000207004.1	51724103	51724209	14	RNU6-301P
ENSG00000278838	ENSG00000278838.1	46073651	46073935	X	Metazoa_SRP
ENSG00000277889	ENSG00000277889.1	106600928	106601022	9	MIR8081
ENSG00000212340	ENSG00000212340.1	64511755	64511857	3	RNU6-739P
ENSG00000201078	ENSG00000201078.1	37055033	37055347	22	RN7SKP214
ENSG00000252682	ENSG00000252682.1	154288460	154288527	1	AL354980.1
ENSG00000274860	ENSG00000274860.1	6521131	6521412	17	Metazoa_SRP
ENSG00000199711	ENSG00000199711.1	99936610	99936711	7	Y_RNA
ENSG00000199878	ENSG00000199878.1	143197248	143197591	X	RN7SKP149
ENSG00000264069	ENSG00000264069.3	43150895	43150994	7	MIR3943
ENSG00000212316	ENSG00000212316.1	75198071	75198177	9	RNU6-1228P
ENSG00000284446	ENSG00000284446.1	31956839	31956940	6	MIR1236
ENSG00000285609	ENSG00000285609.1	182944365	182944490	1	AL450304.2
ENSG00000274934	ENSG00000274934.1	136134082	136134248	5	AC009014.1
ENSG00000252680	ENSG00000252680.1	9844717	9844846	18	RNA5SP449
ENSG00000272034	ENSG00000272034.1	17074654	17074744	11	SNORD14A
ENSG00000222604	ENSG00000222604.2	74711936	74712045	14	AC007956.1
ENSG00000283320	ENSG00000283320.1	3917502	3917563	20	MIR103B2
ENSG00000252655	ENSG00000252655.1	89650793	89650903	14	Y_RNA
ENSG00000202056	ENSG00000202056.1	228555793	228555901	1	RNA5SP19
ENSG00000263800	ENSG00000263800.1	12787128	12787192	19	MIR5684
ENSG00000200225	ENSG00000200225.1	20414987	20415098	14	RNA5SP382
ENSG00000223026	ENSG00000223026.1	81251789	81252096	1	RN7SKP247
ENSG00000238440	ENSG00000238440.1	64355762	64355865	12	AC135279.1
ENSG00000252881	ENSG00000252881.1	104780288	104780389	5	RNU6-334P
ENSG00000207100	ENSG00000207100.1	133152754	133152892	X	Z77249.1
ENSG00000206791	ENSG00000206791.1	148014417	148014583	1	RNU1-129P
ENSG00000201620	ENSG00000201620.1	85883680	85883798	1	RNA5SP51
ENSG00000280554	ENSG00000280554.1	66502019	66502089	15	AC116913.2
ENSG00000199894	ENSG00000199894.1	110433109	110433188	4	AC093872.1
ENSG00000238431	ENSG00000238431.1	57227001	57227066	7	RNU7-157P
ENSG00000244610	ENSG00000244610.3	67457023	67457290	17	RN7SL756P
ENSG00000239039	ENSG00000239039.1	33513475	33513578	8	SNORD13
ENSG00000240106	ENSG00000240106.2	16539688	16539984	19	RN7SL146P
ENSG00000249784	ENSG00000249784.1	1974636	1974760	4	SCARNA22
ENSG00000201868	ENSG00000201868.1	35195969	35196062	1	Y_RNA
ENSG00000242482	ENSG00000242482.3	67656831	67657129	1	RN7SL392P
ENSG00000206958	ENSG00000206958.1	88382772	88382907	5	SNORA70
ENSG00000222589	ENSG00000222589.1	5910945	5911236	8	RN7SKP159
ENSG00000275655	ENSG00000275655.1	97100587	97100874	2	RN7SL313P
ENSG00000238912	ENSG00000238912.1	27547757	27547858	3	Y_RNA
ENSG00000243059	ENSG00000243059.3	21102843	21103138	15	RN7SL400P
ENSG00000274777	ENSG00000274777.1	56848068	56848204	19	AC004792.1
ENSG00000201818	ENSG00000201818.1	169005249	169005344	4	RNY4P17
ENSG00000206717	ENSG00000206717.1	34821445	34821542	6	Y_RNA
ENSG00000243066	ENSG00000243066.3	14588357	14588656	19	RN7SL842P
ENSG00000278794	ENSG00000278794.1	1101007	1101273	17	Metazoa_SRP
ENSG00000276685	ENSG00000276685.1	46028804	46028892	8	AC118650.1
ENSG00000283369	ENSG00000283369.1	247607126	247607201	1	U6
ENSG00000238610	ENSG00000238610.1	27897504	27897566	6	RNU7-26P
ENSG00000222225	ENSG00000222225.1	152999	153102	11	RNU6-447P
ENSG00000243267	ENSG00000243267.3	10616836	10617115	1	RN7SL614P
ENSG00000212526	ENSG00000212526.1	30956248	30956350	15	RNU6-466P
ENSG00000207195	ENSG00000207195.1	40826655	40826765	4	Y_RNA
ENSG00000200184	ENSG00000200184.1	192729555	192729716	3	RNU1-20P
ENSG00000252933	ENSG00000252933.1	1616492	1616595	19	RNU6-1223P
ENSG00000239221	ENSG00000239221.3	16191832	16192151	17	RN7SL442P
ENSG00000200418	ENSG00000200418.1	186786323	186786445	3	SNORA63B
ENSG00000212473	ENSG00000212473.1	70077906	70078032	8	RNU1-101P
ENSG00000201640	ENSG00000201640.2	96348734	96349038	4	RN7SKP28
ENSG00000265141	ENSG00000265141.2	8979576	8979874	1	RN7SL451P
ENSG00000242688	ENSG00000242688.3	19970969	19971269	1	RN7SL304P
ENSG00000200525	ENSG00000200525.1	95055214	95055320	8	RNU6-1209P
ENSG00000252800	ENSG00000252800.1	63479272	63479413	14	AL132992.1
ENSG00000276575	ENSG00000276575.1	53195411	53195488	X	MIR6895
ENSG00000277411	ENSG00000277411.1	15522195	15522300	6	5S_rRNA
ENSG00000238311	ENSG00000238311.1	65696833	65696936	15	SNORD13E
ENSG00000222546	ENSG00000222546.1	3700492	3700628	8	RNA5SP251
ENSG00000207480	ENSG00000207480.1	88330176	88330278	4	Y_RNA
ENSG00000283522	ENSG00000283522.1	95072914	95072993	8	MIR3150A
ENSG00000201255	ENSG00000201255.1	30360463	30360566	17	RNU6-990P
ENSG00000222268	ENSG00000222268.1	47505432	47505543	16	RNA5SP425
ENSG00000265520	ENSG00000265520.1	17681578	17681657	8	MIR548V
ENSG00000200903	ENSG00000200903.1	48949361	48949520	17	RNU1-42P
ENSG00000207027	ENSG00000207027.1	23806229	23806377	8	AC012119.1
ENSG00000277583	ENSG00000277583.1	116953214	116953324	7	AC106873.7
ENSG00000277918	ENSG00000277918.1	144560666	144560829	1	U1
ENSG00000284135	ENSG00000284135.1	133034860	133034915	7	MIR3654
ENSG00000200656	ENSG00000200656.1	45105968	45106099	7	SNORA5B
ENSG00000238406	ENSG00000238406.1	128543916	128543977	9	RNU7-171P
ENSG00000206850	ENSG00000206850.1	130906838	130906949	12	Y_RNA
ENSG00000264732	ENSG00000264732.1	181222566	181222633	5	MIR4638
ENSG00000200883	ENSG00000200883.1	9249649	9249746	18	Y_RNA
ENSG00000201867	ENSG00000201867.1	34189174	34189275	11	Y_RNA
ENSG00000201160	ENSG00000201160.1	25697076	25697188	2	Y_RNA
ENSG00000199985	ENSG00000199985.1	36764445	36764551	8	RNA5SP264
ENSG00000283275	ENSG00000283275.1	28819582	28819668	4	MIR4275
ENSG00000207462	ENSG00000207462.1	118702342	118702447	11	RNU6-376P
ENSG00000275213	ENSG00000275213.1	205684018	205684307	1	Metazoa_SRP
ENSG00000199827	ENSG00000199827.1	175029769	175029877	2	RNU6-1290P
ENSG00000274864	ENSG00000274864.1	27099778	27099836	7	AC004079.2
ENSG00000283958	ENSG00000283958.1	186786672	186786777	3	MIR1248
ENSG00000206635	ENSG00000206635.1	151629324	151629430	1	RNU6-1062P
ENSG00000264092	ENSG00000264092.2	16863196	16863496	8	RN7SL474P
ENSG00000252233	ENSG00000252233.1	139794125	139794433	4	RN7SKP253
ENSG00000244318	ENSG00000244318.3	96940068	96940364	7	RN7SL252P
ENSG00000200495	ENSG00000200495.1	248912690	248912795	1	RNU6-1205P
ENSG00000201377	ENSG00000201377.1	70396279	70396375	X	RNY4P23
ENSG00000265321	ENSG00000265321.1	27996367	27996449	2	MIR4263
ENSG00000251816	ENSG00000251816.1	19181814	19181856	4	RNA5SP157
ENSG00000201869	ENSG00000201869.1	64573569	64573670	5	RNU6-294P
ENSG00000212153	ENSG00000212153.1	141727984	141728148	7	RNU1-82P
ENSG00000199156	ENSG00000199156.1	63870930	63871019	15	MIR422A
ENSG00000207351	ENSG00000207351.1	184086791	184086903	3	Y_RNA
ENSG00000277887	ENSG00000277887.1	64146339	64146471	17	SNORA50C
ENSG00000238788	ENSG00000238788.1	127017421	127017482	2	RNU7-182P
ENSG00000252552	ENSG00000252552.1	174996524	174996629	1	RNU6-307P
ENSG00000222102	ENSG00000222102.1	151704289	151704578	5	RN7SKP232
ENSG00000200332	ENSG00000200332.1	41648089	41648190	22	Y_RNA
ENSG00000199143	ENSG00000199143.1	53788705	53788773	19	MIR373
ENSG00000265957	ENSG00000265957.1	44970082	44970166	18	MIR4319
ENSG00000199962	ENSG00000199962.1	17576798	17576906	21	Y_RNA
ENSG00000200475	ENSG00000200475.1	13683542	13683886	12	RN7SKP162
ENSG00000277049	ENSG00000277049.1	41237440	41237557	9	RNA5SP530
ENSG00000222543	ENSG00000222543.1	25393557	25393844	10	RN7SKP220
ENSG00000206672	ENSG00000206672.1	67625356	67625464	6	Y_RNA
ENSG00000252252	ENSG00000252252.1	54452423	54452511	10	RNU6-687P
ENSG00000201723	ENSG00000201723.2	78544095	78544188	18	Y_RNA
ENSG00000242696	ENSG00000242696.3	202357076	202357417	2	RN7SL40P
ENSG00000207761	ENSG00000207761.3	101026785	101026864	14	MIR329-1
ENSG00000200875	ENSG00000200875.1	2649761	2649867	18	RNU6-340P
ENSG00000207448	ENSG00000207448.1	70701755	70701858	4	RNU6-520P
ENSG00000222148	ENSG00000222148.1	49889634	49889728	13	RNY4P30
ENSG00000206781	ENSG00000206781.1	64445130	64445243	15	Y_RNA
ENSG00000239579	ENSG00000239579.3	137595265	137595547	X	RN7SL325P
ENSG00000284269	ENSG00000284269.1	64785626	64785686	14	MIR7855
ENSG00000222598	ENSG00000222598.1	115774319	115774502	5	RNU2-49P
ENSG00000252810	ENSG00000252810.1	101915589	101915695	X	RNU6-345P
ENSG00000201923	ENSG00000201923.1	45559758	45559876	20	RNA5SP485
ENSG00000207037	ENSG00000207037.1	84938416	84938522	15	RNU6-339P
ENSG00000283785	ENSG00000283785.1	50049119	50049201	13	MIR15A
ENSG00000252257	ENSG00000252257.1	181968459	181968681	3	RN7SKP265
ENSG00000202310	ENSG00000202310.1	100158868	100158975	8	Y_RNA
ENSG00000251898	ENSG00000251898.1	6581474	6581609	12	SCARNA11
ENSG00000276102	ENSG00000276102.1	62567011	62567071	11	MIR6747
ENSG00000252346	ENSG00000252346.1	227763052	227763152	2	RNA5SP121
ENSG00000264056	ENSG00000264056.1	53276993	53277071	6	MIR5685
ENSG00000253077	ENSG00000253077.1	151971497	151971613	4	RNA5SP169
ENSG00000207233	ENSG00000207233.1	54222284	54222412	18	SNORA37
ENSG00000264720	ENSG00000264720.3	66628440	66628517	1	MIR3117
ENSG00000264474	ENSG00000264474.1	4788565	4788639	7	MIR4656
ENSG00000263841	ENSG00000263841.2	153500463	153500764	1	RN7SL44P
ENSG00000221033	ENSG00000221033.1	64762387	64762515	15	MIR1272
ENSG00000244544	ENSG00000244544.2	152264150	152264445	4	RN7SL446P
ENSG00000240183	ENSG00000240183.3	111930175	111930467	2	RN7SL297P
ENSG00000208036	ENSG00000208036.1	100093993	100094074	7	MIR106B
ENSG00000201992	ENSG00000201992.1	25234247	25234328	15	SNORD115-35
ENSG00000281910	ENSG00000281910.1	58559796	58559931	16	SNORA50A
ENSG00000215930	ENSG00000215930.1	117094643	117094728	1	MIR942
ENSG00000265810	ENSG00000265810.1	151433489	151433639	7	MIR3907
ENSG00000275391	ENSG00000275391.1	18379351	18379410	16	MIR6770-3
ENSG00000202039	ENSG00000202039.1	5180061	5180162	7	RNU6-215P
ENSG00000266467	ENSG00000266467.2	68007718	68008017	10	RN7SL220P
ENSG00000265753	ENSG00000265753.2	151300665	151300964	1	RN7SL444P
ENSG00000200822	ENSG00000200822.1	222404985	222405095	2	Y_RNA
ENSG00000207641	ENSG00000207641.1	147272335	147272408	X	MIR510
ENSG00000265831	ENSG00000265831.1	241132272	241132346	1	MIR3123
ENSG00000266758	ENSG00000266758.1	29599179	29599265	16	MIR3680-2
ENSG00000200448	ENSG00000200448.1	42762860	42762959	22	Y_RNA
ENSG00000206693	ENSG00000206693.1	154774998	154775126	X	SNORA56
ENSG00000264800	ENSG00000264800.1	48985512	48985587	10	MIR4294
ENSG00000278598	ENSG00000278598.1	87834592	87834660	16	MIR6775
ENSG00000200480	ENSG00000200480.1	100989130	100989201	14	SNORD114-28
ENSG00000206802	ENSG00000206802.1	26190707	26190813	21	RNU6-926P
ENSG00000202408	ENSG00000202408.2	148334612	148334767	1	RNU1-122P
ENSG00000284293	ENSG00000284293.1	68032864	68032922	11	MIR7113
ENSG00000284038	ENSG00000284038.1	48579838	48579947	17	MIR10A
ENSG00000212327	ENSG00000212327.1	9919051	9919153	3	RNU6-882P
ENSG00000243352	ENSG00000243352.3	104911928	104912193	7	RN7SL8P
ENSG00000251712	ENSG00000251712.3	148821012	148821073	7	RNU7-20P
ENSG00000276396	ENSG00000276396.1	139155153	139155444	4	Metazoa_SRP
ENSG00000264295	ENSG00000264295.1	104591633	104591716	12	MIR3922
ENSG00000274713	ENSG00000274713.1	11495544	11495622	19	MIR7974
ENSG00000264910	ENSG00000264910.2	58543299	58543578	19	RN7SL525P
ENSG00000253067	ENSG00000253067.1	132080066	132080133	5	AC034216.1
ENSG00000238645	ENSG00000238645.1	53334562	53334664	16	AC079416.1
ENSG00000278757	ENSG00000278757.1	516376	516479	1	U6
ENSG00000275726	ENSG00000275726.1	45436654	45436704	19	MIR6088
ENSG00000207247	ENSG00000207247.1	136934765	136934866	6	Y_RNA
ENSG00000216179	ENSG00000216179.1	101064495	101064578	14	MIR541
ENSG00000199567	ENSG00000199567.1	86019608	86019715	X	Y_RNA
ENSG00000255851	ENSG00000255851.2	49017793	49018061	17	Metazoa_SRP
ENSG00000212466	ENSG00000212466.1	102313722	102313829	11	RNU6-952P
ENSG00000283759	ENSG00000283759.1	12915829	12915918	12	MIR614
ENSG00000266063	ENSG00000266063.1	111771061	111771134	2	MIR4771-2
ENSG00000207702	ENSG00000207702.1	31065032	31065141	15	MIR211
ENSG00000253038	ENSG00000253038.1	39034007	39034110	18	RNU6-706P
ENSG00000206815	ENSG00000206815.1	57548838	57548945	3	RNU6-483P
ENSG00000206795	ENSG00000206795.1	12149126	12149238	X	Y_RNA
ENSG00000241613	ENSG00000241613.3	53258077	53258372	13	RN7SL618P
ENSG00000264397	ENSG00000264397.1	2135977	2136129	16	MIR3180-5
ENSG00000223335	ENSG00000223335.1	32352877	32352983	6	RNU6-603P
ENSG00000202532	ENSG00000202532.1	127845236	127845341	2	RNU6-395P
ENSG00000278159	ENSG00000278159.1	7371608	7371692	20	MIR8062
ENSG00000199783	ENSG00000199783.1	24901147	24901214	22	AL049759.1
ENSG00000199362	ENSG00000199362.1	75837544	75837645	11	Y_RNA
ENSG00000212342	ENSG00000212342.1	130162972	130163127	8	AC103725.1
ENSG00000266232	ENSG00000266232.1	2531922	2532005	16	MIR3178
